Participant_ID;Gender;Condition;Device;Sentence;File_Name;Remarks
P00;M;In the lab doors/windows closed;Smartphone (iPhone 11 Pro);S01;P00_M_C1_Smartphone_S01.wav;
P00;M;In the lab doors/windows closed;Smartphone (iPhone 11 Pro);S02;P00_M_C1_Smartphone_S02.wav;
P00;M;In the lab doors/windows closed;Smartphone (iPhone 11 Pro);S03;P00_M_C1_Smartphone_S03.wav;
P00;M;In the lab doors/windows closed;Smartphone (iPhone 11 Pro);S04;P00_M_C1_Smartphone_S04.wav;
P00;M;In the lab doors/windows closed;Smartphone (iPhone 11 Pro);S05;P00_M_C1_Smartphone_S05.wav;
P00;M;In the lab TV noise;Smartphone (iPhone 11 Pro);S01;P00_M_C2_Smartphone_S01.wav;
P00;M;In the lab TV noise;Smartphone (iPhone 11 Pro);S02;P00_M_C2_Smartphone_S02.wav;
P00;M;In the lab TV noise;Smartphone (iPhone 11 Pro);S03;P00_M_C2_Smartphone_S03.wav;
P00;M;In the lab TV noise;Smartphone (iPhone 11 Pro);S04;P00_M_C2_Smartphone_S04.wav;
P00;M;In the lab TV noise;Smartphone (iPhone 11 Pro);S05;P00_M_C2_Smartphone_S05.wav;
P00;M;In the lab open windows;Laptop (Lenovo ThinkPad X1 Carbon);S01;P00_M_C3_Laptop_S01.wav;
P00;M;In the lab open windows;Laptop (Lenovo ThinkPad X1 Carbon);S02;P00_M_C3_Laptop_S02.wav;
P00;M;In the lab open windows;Laptop (Lenovo ThinkPad X1 Carbon);S03;P00_M_C3_Laptop_S03.wav;
P00;M;In the lab open windows;Laptop (Lenovo ThinkPad X1 Carbon);S04;P00_M_C3_Laptop_S04.wav;
P00;M;In the lab open windows;Laptop (Lenovo ThinkPad X1 Carbon);S05;P00_M_C3_Laptop_S05.wav;
P00;M;In the lab open door;AirPods;S01;P00_M_C4_AirPods_S01.wav;connected to laptop
P00;M;In the lab open door;AirPods;S02;P00_M_C4_AirPods_S02.wav;connected to laptop
P00;M;In the lab open door;AirPods;S03;P00_M_C4_AirPods_S03.wav;connected to laptop
P00;M;In the lab open door;AirPods;S04;P00_M_C4_AirPods_S04.wav;connected to laptop
P00;M;In the lab open door;AirPods;S05;P00_M_C4_AirPods_S05.wav;connected to laptop
P00;M;In the lab office;Laptop (Lenovo ThinkPad X1 Carbon);S01;P00_M_C5_Laptop_S01.wav;
P00;M;In the lab office;Laptop (Lenovo ThinkPad X1 Carbon);S02;P00_M_C5_Laptop_S02.wav;
P00;M;In the lab office;Laptop (Lenovo ThinkPad X1 Carbon);S03;P00_M_C5_Laptop_S03.wav;
P00;M;In the lab office;Laptop (Lenovo ThinkPad X1 Carbon);S04;P00_M_C5_Laptop_S04.wav;
P00;M;In the lab office;Laptop (Lenovo ThinkPad X1 Carbon);S05;P00_M_C5_Laptop_S05.wav;
P00;M;In front of MAR;Smartphone (iPhone 11 Pro);S01;P00_M_C6_Smartphone_S01.wav;wind_noise
P00;M;In front of MAR;Smartphone (iPhone 11 Pro);S02;P00_M_C6_Smartphone_S02.wav;wind_noise
P00;M;In front of MAR;Smartphone (iPhone 11 Pro);S03;P00_M_C6_Smartphone_S03.wav;wind_noise
P00;M;In front of MAR;Smartphone (iPhone 11 Pro);S04;P00_M_C6_Smartphone_S04.wav;wind_noise
P00;M;In front of MAR;Smartphone (iPhone 11 Pro);S05;P00_M_C6_Smartphone_S05.wav;wind_noise
P00;M;Campus;AirPods;S01;P00_M_C7_AirPods_S01.wav;wind_noise
P00;M;Campus;AirPods;S02;P00_M_C7_AirPods_S02.wav;wind_noise
P00;M;Campus;AirPods;S03;P00_M_C7_AirPods_S03.wav;wind_noise
P00;M;Campus;AirPods;S04;P00_M_C7_AirPods_S04.wav;wind_noise
P00;M;Campus;AirPods;S05;P00_M_C7_AirPods_S05.wav;wind_noise
P00;M;U-Bhf;Smartphone (iPhone 11 Pro);S01;P00_M_C8_Smartphone_S01.wav;
P00;M;U-Bhf;Smartphone (iPhone 11 Pro);S02;P00_M_C8_Smartphone_S02.wav;
